State,Station,Note,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2005
Illinois,"Joliet, Illinois",,"54,905","28,348","35,319","64,752","61,182","61,367","58,211","64,349","70,148","70,142","63,102","54,668","53,322","11,824"
Illinois,"Kankakee, Illinois",,"11,135","25,495","14,689","18,845","19,201","19,745","20,138","21,736","22,898","24,067","22,110","19,732","17,519","4,002"
Illinois,"Kewanee, Illinois",,"12,073","6,588","9,128","17,880","17,354","18,012","17,144","15,849","17,152","16,510","16,504","13,936","13,635","3,859"
Illinois,"La Grange Road, Illinois",,"8,407","4,712","6,673","10,773","11,003","12,754","12,181","13,398","14,076","15,365","15,120","14,868","14,252","3,391"
Illinois,"Lincoln, Illinois",,"15,547","8,147","11,764","22,869","23,581","21,896","21,245","23,333","25,587","25,393","22,473","17,541","23,723","7,421"
Illinois,"Macomb, Illinois",,"41,675","25,707","33,061","56,878","61,002","67,011","67,981","71,231","72,550","77,082","80,000","78,129","72,717","19,121"
Illinois,"Mattoon, Illinois",,"22,004","15,735","19,908","34,023","34,279","35,822","37,536","41,956","42,872","44,598","42,011","38,328","32,818","7,730"
Illinois,"Mendota, Illinois",,"14,892","9,002","12,322","22,688","22,276","23,141","23,736","24,073","24,019","25,410","24,250","23,768","21,082","5,820"
Illinois,"Naperville, Illinois",,"26,991","16,598","22,563","40,902","42,104","45,882","46,856","46,806","49,915","53,135","54,213","53,918","50,733","17,641"
Illinois,"Plano, Illinois",,"4,746","2,679","3,588","6,269","6,442","6,187","6,412","6,771","7,193","6,901","6,344","6,188","5,481","1,062"
Illinois,"Pontiac, Illinois",,"10,627","5,553","7,366","16,634","17,731","16,717","15,300","15,312","16,474","17,077","14,429","13,824","15,478","3,911"
Illinois,"Princeton, Illinois",,"21,887","12,441","19,189","37,118","38,244","36,942","37,024","35,788","35,786","36,118","34,713","33,678","31,644","9,493"
Illinois,"Quincy, Illinois",,"25,040","14,450","19,497","37,527","37,282","41,469","41,769","46,006","47,185","50,378","53,633","50,842","46,279","14,942"
Illinois,"Rantoul, Illinois",,"3,526","3,315","3,597","4,943","4,999","4,773","5,660","6,371","5,908","5,823","4,909","4,808","4,085",412
Illinois,"Springfield, Illinois",,"118,743","61,866","79,796","161,319","168,969","177,241","165,484","184,420","194,762","202,095","192,216","159,444","190,172","52,929"
Illinois,"Summit, Illinois",,"15,111","8,310","9,607","14,516","15,816","12,614","11,056","12,196","12,528","11,084","9,072","7,914","7,912","1,660"
Indiana,"Albany/Rensselaer, Indiana",,,,,,"1,816","2,188","1,963","2,090","2,154","2,239","2,342","2,042","1,848",
